,newcode,venue,score.diff.cat,strength.cat,season,Date,gcode,combocode,p1,p2,p3,p4,p5,ID.1,ID.2,ID.3,ID.4,ID.5,POS.1,POS.2,POS.3,POS.4,POS.5,NAME.1,NAME.2,NAME.3,NAME.4,NAME.5,TOI,p1G,p1A,p1A2,p1A3,p1A4,p1A5,p2G,p2A,p2A1,p2A3,p2A4,p2A5,p3G,p3A,p3A1,p3A2,p3A4,p3A5,p4G,p4A,p4A1,p4A2,p4A3,p4A5,p5G,p5A,p5A1,p5A2,p5A3,p5A4,CF,CA,FF,FA,SF,SA,GF,GA,SCF,SCA,HSCF,HSCA,OZS,NZS,DZS,team,TCF,TCA,TFF,TFA,TGF,TGA,TSCF,TSCA,THSCF,THSCA,CF60,CA60,CF.OFF,CA.OFF,CF.,CF..OFF,CF.REL,FF60,FA60,FF.OFF,FA.OFF,FF.,FF..OFF,FF.REL,GF60,GA60,GF.OFF,GA.OFF,GF.,GF..OFF,GF.REL,SCF60,SCA60,SCF.OFF,SCA.OFF,SCF.,SCF..OFF,SCF.REL,HSCF60,HSCA60,HSCF.OFF,HSCA.OFF,HSCF.,HSCF..OFF,HSCF.REL,OZS.,SH.,SV.
1,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.16E+28,bergepa85,marchbr88,erikslo85,krugxto91,NA,332,3073,1344,2594,20000,C,L,RL,D,NA,PATRICE BERGERON,BRAD MARCHAND,LOUI ERIKSSON,TOREY KRUG,NA,0.708333333,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,0,0,2,0,0,0,0,1,1,BOS,8,6,4,3,0,1,4,1,0,0,169.4117647,84.70588235,6,5,0.666666667,0.545454545,0.121212121,84.70588235,84.70588235,3,2,0.5,0.6,-0.1,0,0,0,1,NA,0,NA,169.4117647,0,2,1,1,0.666666667,0.333333333,0,0,0,0,NA,NA,NA,0,0,1
2,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.11E+33,marchbr88,charazd77,seidede81,NA,NA,3073,782,4469,20000,20000,L,D,D,NA,NA,BRAD MARCHAND,ZDENO CHARA,DENNIS SEIDENBERG,NA,NA,0.833333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,144,0,6,6,1,0.5,0.5,72,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,72,0,3,1,1,0.75,0.25,0,0,0,0,NA,NA,NA,NA,0,NA
3,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.15E+33,campbgr83,soderca85,krugxto91,NA,NA,706,4679,2594,20000,20000,CL,C,D,NA,NA,GREGORY CAMPBELL,CARL SODERBERG,TOREY KRUG,NA,NA,0.266666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,225,0,7,6,1,0.538461538,0.461538462,225,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,NA,0,NA
4,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.28E+33,campbgr83,soderca85,seidede81,NA,NA,706,4679,4469,20000,20000,CL,C,D,NA,NA,GREGORY CAMPBELL,CARL SODERBERG,DENNIS SEIDENBERG,NA,NA,0.116666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,0,8,6,NA,0.571428571,NA,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
5,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.40E+29,krejcda86,lucicmi88,krugxto91,mcquaad86,NA,2579,2937,2594,3250,20000,C,L,D,D,NA,DAVID KREJCI,MILAN LUCIC,TOREY KRUG,ADAM MCQUAID,NA,0.691666667,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,173.4939759,8,4,0,0.666666667,-0.666666667,0,173.4939759,4,1,0,0.8,-0.8,0,86.74698795,0,0,0,NA,NA,0,86.74698795,4,0,0,1,-1,0,0,0,0,NA,NA,NA,NA,NA,0
6,20142015.21,away,3,5v5,20142015,11-04-07,21201,9.88E+32,pastrda96,lucicmi88,krugxto91,NA,NA,3783,2937,2594,20000,20000,RL,L,D,NA,NA,DAVID PASTRNAK,MILAN LUCIC,TOREY KRUG,NA,NA,0.691666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,173.4939759,8,4,0,0.666666667,-0.666666667,0,173.4939759,4,1,0,0.8,-0.8,0,86.74698795,0,0,0,NA,NA,0,86.74698795,4,0,0,1,-1,0,0,0,0,NA,NA,NA,NA,NA,0
7,20142015.21,away,3,5v5,20142015,11-04-07,21201,5.57E+34,krejcda86,mcquaad86,NA,NA,NA,2579,3250,20000,20000,20000,C,D,NA,NA,NA,DAVID KREJCI,ADAM MCQUAID,NA,NA,NA,1.55,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,1,1,0,1,1,1,0,0,0,0,1,BOS,8,6,4,3,0,1,4,1,0,0,38.70967742,193.5483871,7,1,0.166666667,0.875,-0.708333333,38.70967742,77.41935484,3,1,0.333333333,0.75,-0.416666667,0,38.70967742,0,0,0,NA,NA,38.70967742,38.70967742,3,0,0.5,1,-0.5,0,0,0,0,NA,NA,NA,0,0,0
8,20142015.21,away,3,5v5,20142015,11-04-07,21201,7.26E+32,bergepa85,marchbr88,mcquaad86,NA,NA,332,3073,3250,20000,20000,C,L,D,NA,NA,PATRICE BERGERON,BRAD MARCHAND,ADAM MCQUAID,NA,NA,0.333333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,0,8,6,NA,0.571428571,NA,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
9,20142015.21,away,3,5v5,20142015,11-04-07,21201,7.38E+32,lucicmi88,charazd77,mcquaad86,NA,NA,2937,782,3250,20000,20000,L,D,D,NA,NA,MILAN LUCIC,ZDENO CHARA,ADAM MCQUAID,NA,NA,0.858333333,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,BOS,8,6,4,3,0,1,4,1,0,0,69.90291262,209.7087379,7,3,0.25,0.7,-0.45,69.90291262,0,3,3,1,0.5,0.5,0,0,0,1,NA,0,NA,69.90291262,0,3,1,1,0.75,0.25,0,0,0,0,NA,NA,NA,0,0,NA
10,20142015.21,away,3,5v5,20142015,11-04-07,21201,1.37E+29,campbgr83,smithre91,charazd77,mcquaad86,NA,706,4652,782,3250,20000,CL,RL,D,D,NA,GREGORY CAMPBELL,REILLY SMITH,ZDENO CHARA,ADAM MCQUAID,NA,0.525,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,BOS,8,6,4,3,0,1,4,1,0,0,0,0,8,6,NA,0.571428571,NA,0,0,4,3,NA,0.571428571,NA,0,0,0,1,NA,0,NA,0,0,4,1,NA,0.8,NA,0,0,0,0,NA,NA,NA,1,NA,NA
